1.00055 65535
1.00113 131072
1.50016 41976
1.50019 41476
1.50021 41976
1.50024 41476
1.50026 41976
1.5003 41476
1.50031 41976
1.50032 40976
1.50034 40476
1.50035 39976
1.50037 38976
1.50038 38476
1.5004 37976
1.50041 37476
1.50043 36476
1.50045 35976
1.50046 35476
1.50048 34476
1.50049 33976
1.50051 33476
1.50052 32976
1.50054 31976
1.50056 31476
1.50057 30976
1.50059 29976
1.5006 29476
1.50062 28976
1.50063 28476
1.50065 27976
1.50069 41212
2.00017 2920
2.00085 2964
2.002 2920
2.01218 2940
2.01294 41212
2.01352 27976
2.01354 41212
2.10019 36976
2.10027 31976
2.10029 41212
2.30018 36476
2.3002 35976
2.30023 36476
2.30026 27976
2.3003 41212
